All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75   LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genomic features  Largest alignment  Total aligned length  NA50    NGA50   NA75    NGA75  LA50  LGA50  LA75  LGA75
73_C18_contigs   170                  54                      41                      39                       35                       29                       6942218                 6916433                    6890544                    6877827                     6819876                     6601524                     65         558396          6923163       6498072           66.01   66.35             298481  306242  194151  245074  10   9     17    15    63               25                      5550185                      48                     0                         0                         1                         11 + 30 part         792825            94.197               1.002              0.00               549.45                    11.34                 5824 + 100 part     320957             6125814               92781   110236  47640   64071  20    18     45    39   
74_A91_contigs   200                  105                     83                      74                       60                       46                       6782984                 6760427                    6696384                    6627529                     6406248                     5886586                     114        563020          6767886       6498072           66.15   66.35             117532  155938  69721   70765   14   13    33    30    67               33                      4482422                      53                     0                         0                         2                         3 + 37 part          686661            93.473               1.001              0.00               550.78                    10.37                 5765 + 172 part     226100             6076727               73700   74818   32234   35589  33    31     66    60   
74_C20_contigs   153                  38                      27                      23                       22                       21                       6540682                 6515839                    6493783                    6467714                     6447429                     6402997                     45         944705          6520847       6498072           66.28   66.35             490089  490089  269498  269498  5    5     10    10    63               14                      5558967                      49                     0                         0                         1                         5 + 26 part          525925            92.041               1.002              0.00               552.74                    11.79                 5731 + 75 part      328624             5993066               114413  114413  67777   68443  17    17     37    36   
75_A92_contigs   241                  127                     103                     90                       66                       41                       6778347                 6752173                    6694777                    6600083                     6226590                     5326732                     136        430923          6759269       6498072           66.15   66.35             123347  131375  56147   58518   15   14    37    33    65               33                      4072317                      54                     0                         0                         2                         3 + 38 part          685079            93.344               1.001              0.00               550.73                    10.27                 5742 + 197 part     192608             6069461               57872   60487   25856   29891  32    30     74    67   
75_C135_contigs  92                   35                      30                      29                       26                       21                       6369872                 6357047                    6346690                    6341280                     6281427                     6062147                     40         904181          6360472       6498072           66.33   66.35             331636  331636  270774  270774  6    6     11    11    60               17                      5617417                      56                     0                         0                         0                         2 + 18 part          458892            90.723               1.001              0.00               609.47                    12.72                 5629 + 88 part      311955             5900753               117671  117671  54874   49389  15    15     34    36   
76_A95_contigs   207                  83                      75                      72                       57                       43                       6788343                 6761473                    6740287                    6720485                     6475952                     5968326                     91         356888          6767903       6498072           66.16   66.35             173873  176234  73740   80866   14   13    29    26    64               34                      4762802                      52                     0                         0                         2                         3 + 37 part          686151            93.479               1.001              0.00               550.81                    10.45                 5790 + 147 part     207745             6079157               76885   80866   33049   38179  28    26     60    54   
76_C137_contigs  91                   25                      21                      20                       20                       17                       6437782                 6424994                    6416975                    6411453                     6411453                     6299004                     28         950915          6426722       6498072           66.32   66.35             679878  679878  298297  298297  4    4     8     8     51               12                      5478136                      35                     0                         0                         0                         1 + 11 part          456881            91.587               1.003              0.00               508.99                    10.40                 5704 + 45 part      376094             5967380               154625  154625  71117   69019  13    13     28    29   
77_A97_contigs   156                  52                      46                      44                       40                       31                       6786656                 6763414                    6750700                    6738152                     6675474                     6347945                     60         658442          6770080       6498072           66.16   66.35             255182  255182  171466  176358  9    9     17    16    71               28                      5931693                      55                     0                         0                         0                         3 + 30 part          687302            93.525               1.001              0.00               552.69                    10.43                 5812 + 133 part     317107             6079437               98333   103272  48542   54597  22    20     46    42   
77_C139_contigs  126                  69                      57                      53                       42                       33                       6601329                 6589882                    6563890                    6535855                     6349561                     6042911                     71         700068          6591318       6498072           66.19   66.35             233401  233401  116137  116137  10   10    20    20    65               30                      5124799                      50                     0                         0                         1                         8 + 33 part          528134            93.054               1.003              0.00               639.26                    13.38                 5784 + 76 part      375824             6057670               101225  101225  48279   49993  18    18     41    40   
78_A100_contigs  115                  28                      25                      23                       21                       19                       6621785                 6604582                    6599847                    6589207                     6548753                     6469110                     31         1267276         6606673       6498072           66.21   66.35             469731  469731  301910  426242  5    5     9     8     62               15                      6089192                      55                     0                         0                         1                         1 + 19 part          647388            91.625               1.001              0.00               548.59                    11.87                 5729 + 86 part      486370             5943065               122856  128389  58163   68539  15    14     33    31   
78_C141_contigs  129                  68                      56                      52                       42                       33                       6601838                 6590198                    6564206                    6535428                     6368996                     6062940                     69         700068          6590964       6498072           66.19   66.35             233401  233401  116137  116137  10   10    20    20    65               30                      5124802                      50                     0                         0                         1                         8 + 33 part          528137            93.056               1.003              0.00               639.11                    13.36                 5786 + 75 part      375824             6058312               101011  101011  48388   50747  18    18     41    39   
79_A106_contigs  174                  93                      75                      68                       55                       42                       6783595                 6763356                    6709590                    6663273                     6461431                     5978423                     102        450410          6770864       6498072           66.15   66.35             178951  190132  79390   84610   13   12    28    25    67               31                      4826501                      55                     0                         0                         1                         3 + 34 part          686194            93.519               1.001              0.00               553.52                    10.53                 5772 + 167 part     274936             6079738               74765   79390   32221   33774  29    27     63    57   
79_C142_contigs  234                  63                      47                      43                       37                       31                       6915438                 6873385                    6839917                    6807587                     6691983                     6461453                     79         743230          6883517       6498072           66.04   66.35             260519  272903  149006  175391  10   9     18    16    58               25                      5397206                      67                     0                         0                         2                         4 + 36 part          810024            92.861               1.007              0.00               593.14                    11.12                 5782 + 105 part     316946             6068770               102414  116935  47577   51524  20    18     45    39   
7_C14_contigs    251                  147                     116                     97                       73                       44                       6669078                 6643342                    6565639                    6417751                     6005322                     4961988                     157        303423          6651160       6498072           66.28   66.35             84231   84231   48037   51028   19   19    45    43    53               32                      3253465                      63                     0                         0                         0                         2 + 40 part          617945            92.740               1.001              0.00               545.36                    10.75                 5681 + 201 part     301831             6029980               55825   56775   22580   25447  35    33     82    77   
7_C88_contigs    97                   24                      20                      19                       17                       15                       6401696                 6388039                    6378286                    6372753                     6346377                     6261410                     28         1383757         6390457       6498072           66.44   66.35             626418  626418  348394  348394  4    4     7     7     69               13                      5911622                      61                     0                         0                         0                         1 + 14 part          454753            91.288               1.001              0.00               972.18                    19.84                 5648 + 80 part      376196             5931328               158976  150114  56067   53652  15    16     32    33   
80_A107_contigs  5253                 1853                    375                     39                       0                        0                        7291820                 6452977                    2754759                    495863                      0                           0                           2270       20382           6753496       6498072           66.16   66.35             4198    4385    2516    2712    511  481   1028  955   26               26                      138864                       42                     0                         0                         5                         195 + 92 part        667916            91.928               1.019              0.00               576.98                    10.45                 4200 + 1699 part    18824              6072222               3750    3882    1891    2134   556   523    1171  1076 
80_C104_contigs  124                  38                      30                      29                       25                       23                       6912054                 6893184                    6875682                    6868225                     6800501                     6729382                     44         799793          6897505       6498072           66.05   66.35             392114  394338  268464  279322  7    6     12    11    69               22                      6513602                      52                     0                         0                         0                         2 + 26 part          759176            94.351               1.001              0.00               546.34                    10.16                 5841 + 89 part      362091             6136793               113931  124751  53880   65807  18    16     40    35   
81_A119_contigs  175                  71                      58                      56                       50                       35                       6707440                 6685083                    6652725                    6637430                     6537580                     6007283                     77         396136          6690159       6498072           66.05   66.35             219997  219997  119385  122065  12   12    24    23    74               30                      5040137                      58                     0                         0                         5                         8 + 48 part          1006446           87.365               1.001              0.00               1109.18                   22.69                 5396 + 130 part     376480             5680824               63401   67128   25407   26952  31    29     70    65   
81_C105_contigs  191                  36                      24                      23                       21                       17                       6275689                 6247024                    6221772                    6215970                     6186207                     6050031                     42         891087          6251659       6498072           66.54   66.35             488198  488198  307718  297248  5    5     8     9     49               12                      5078761                      50                     0                         0                         0                         8 + 15 part          334958            90.991               1.001              0.00               529.10                    10.52                 5672 + 78 part      402572             5915436               156284  156284  68991   63220  14    14     29    32   
82_A122_contigs  224                  101                     82                      74                       59                       39                       6705341                 6676767                    6629743                    6573739                     6327574                     5610611                     111        395532          6683968       6498072           66.05   66.35             131748  134402  80753   84290   15   14    31    29    73               33                      4419586                      60                     0                         0                         4                         14 + 53 part         1002144           87.325               1.001              0.00               1107.92                   22.59                 5370 + 154 part     376847             5676669               57906   59396   21028   23488  33    31     80    73   
82_C107_contigs  160                  42                      33                      31                       29                       25                       6675024                 6648984                    6629008                    6612300                     6576660                     6433306                     50         793812          6654717       6498072           66.18   66.35             349000  349000  165444  217035  7    7     13    12    66               22                      6093421                      61                     0                         0                         0                         3 + 27 part          709546            91.395               1.001              0.00               953.12                    18.74                 5684 + 93 part      320670             5943514               103760  106187  50755   53647  19    18     43    40   
83_A123_contigs  173                  74                      59                      55                       49                       35                       6706985                 6686363                    6652136                    6621731                     6519540                     6021009                     79         400672          6690366       6498072           66.05   66.35             199820  219997  124636  129963  12   11    23    22    76               28                      4910384                      60                     0                         0                         3                         10 + 46 part         1006359           87.366               1.001              0.00               1109.40                   22.67                 5401 + 133 part     376577             5679498               68295   69440   24271   27669  30    29     68    62   
83_C109_contigs  162                  36                      28                      27                       24                       21                       6274461                 6250578                    6232096                    6222199                     6165985                     6065720                     41         664395          6254210       6498072           66.54   66.35             406673  352673  270941  263584  6    7     11    12    49               14                      4734038                      50                     0                         0                         0                         9 + 18 part          335170            90.985               1.001              0.00               527.38                    10.32                 5671 + 76 part      339240             5918061               126502  121834  68338   63345  15    16     33    35   
84_A126_contigs  369                  252                     192                     155                      86                       35                       6677731                 6647823                    6490038                    6219464                     5119940                     3376355                     269        276845          6661508       6498072           66.01   66.35             52741   53950   26702   27679   35   33    82    77    68               43                      2617612                      56                     0                         0                         9                         13 + 75 part         1001185           86.840               1.003              0.00               1108.42                   22.63                 5209 + 313 part     139790             5654538               27275   28110   10479   11526  65    62     161   150  
84_C110_contigs  109                  33                      28                      26                       24                       21                       6857044                 6840959                    6828613                    6813810                     6790947                     6686244                     40         1281994         6845882       6498072           66.10   66.35             439215  439215  270393  310621  5    5     10    9     58               17                      5952322                      42                     0                         0                         0                         4 + 21 part          808006            92.743               1.002              0.00               523.69                    10.27                 5737 + 69 part      452438             6035986               108877  109475  64071   68584  18    17     39    35   
85_A130_contigs  638                  456                     283                     192                      82                       25                       6636185                 6571279                    6144234                    5461270                     3769216                     1824072                     505        123595          6608181       6498072           65.95   66.35             28566   29794   13527   14187   65   63    149   143   63               49                      1636276                      57                     0                         0                         11                        27 + 92 part         1001061           86.106               1.002              0.00               1103.96                   22.32                 4988 + 517 part     85803              5599153               17313   17423   5636    6169   101   98     263   249  
85_C111_contigs  141                  38                      32                      30                       29                       25                       6867029                 6847930                    6834411                    6819608                     6807992                     6664356                     43         707230          6851601       6498072           66.10   66.35             395331  395331  199614  232332  7    7     13    12    60               20                      5859791                      44                     0                         0                         0                         4 + 23 part          819005            92.706               1.001              0.00               521.87                    10.09                 5725 + 72 part      388492             6028901               105957  106544  60123   68376  20    19     42    38   
86_A134_contigs  315                  220                     161                     134                      83                       38                       6644370                 6616822                    6457403                    6244522                     5402763                     3807362                     238        260118          6630564       6498072           66.05   66.35             56819   58421   30742   33642   29   28    68    65    62               41                      2865870                      57                     0                         0                         9                         13 + 71 part         965540            86.968               1.002              0.00               1106.89                   22.77                 5244 + 280 part     210562             5657353               33276   33629   11866   12977  53    51     135   127  
86_C112_contigs  137                  43                      37                      34                       31                       28                       6814544                 6795666                    6781753                    6761015                     6713731                     6603001                     50         641698          6800073       6498072           66.13   66.35             321999  348416  194170  218364  8    7     14    13    58               21                      5583201                      43                     0                         0                         0                         4 + 25 part          769226            92.667               1.002              0.00               520.86                    10.23                 5720 + 77 part      276986             6027863               106544  109189  49632   60123  21    19     44    40   
87_A137_contigs  148                  61                      45                      43                       41                       30                       6706782                 6687608                    6652092                    6638240                     6603991                     6234405                     67         586540          6692158       6498072           66.05   66.35             248994  248994  143366  144029  10   10    19    18    79               25                      5618387                      59                     0                         0                         3                         8 + 39 part          1006706           87.395               1.001              0.00               1110.63                   22.91                 5414 + 114 part     376480             5681284               70596   73799   26542   29783  27    25     62    56   
87_C114_contigs  139                  48                      40                      38                       35                       27                       6965324                 6942980                    6931129                    6917720                     6867529                     6585327                     59         413712          6949709       6498072           66.06   66.35             303635  312416  245385  245780  10   9     16    15    57               21                      5206582                      50                     0                         0                         2                         8 + 31 part          815468            94.292               1.001              0.00               550.50                    10.87                 5831 + 95 part      302239             6133586               110432  124751  49624   64071  18    16     41    35   
88_C117_contigs  142                  32                      25                      24                       22                       19                       6250277                 6225085                    6209226                    6203952                     6176826                     6062358                     43         938317          6232028       6498072           66.57   66.35             501004  501004  246597  246597  5    5     9     9     38               12                      5404696                      38                     0                         0                         0                         2 + 18 part          216402            92.524               1.001              0.00               532.36                    11.41                 5746 + 59 part      387345             6014994               171773  164002  90033   76428  12    13     26    28   
89_A141_contigs  295                  182                     136                     117                      80                       42                       6695933                 6665579                    6544734                    6399140                     5822790                     4435939                     197        293835          6677710       6498072           66.03   66.35             78222   79034   42000   43566   24   23    55    52    73               43                      3303608                      60                     0                         0                         6                         11 + 70 part         1003163           87.163               1.002              0.00               1108.42                   22.69                 5285 + 243 part     217264             5669356               41832   43566   12696   14677  47    45     117   107  
89_C156_contigs  88                   39                      34                      33                       27                       19                       6638645                 6628531                    6616781                    6611259                     6515425                     6228795                     42         1022168         6630352       6498072           66.25   66.35             390743  390743  257490  257490  5    5     11    11    49               13                      5235018                      52                     0                         0                         0                         2 + 18 part          532096            93.679               1.002              0.00               528.85                    10.94                 5824 + 77 part      500986             6095970               154619  154619  64119   66575  13    13     30    28   
8_C15_contigs    141                  38                      31                      30                       29                       26                       6683043                 6659020                    6643259                    6636690                     6621167                     6496563                     46         623442          6665013       6498072           66.30   66.35             398371  398371  251415  251415  7    7     13    13    54               21                      5930960                      63                     0                         0                         0                         2 + 25 part          620456            92.963               1.001              0.00               546.67                    11.06                 5796 + 88 part      412073             6031136               114392  114392  63894   64122  16    16     36    34   
8_C89_contigs    47                   16                      15                      14                       14                       12                       6243256                 6235944                    6233575                    6228269                     6228269                     6137917                     18         1362058         6237114       6498072           66.62   66.35             662386  662386  442253  434831  3    3     6     7     50               10                      5994454                      44                     0                         0                         0                         0 + 10 part          231418            92.361               1.001              0.00               509.71                    10.83                 5735 + 53 part      403422             6005064               158969  155952  82566   78951  12    13     26    28   
90_A144_contigs  166                  71                      53                      49                       44                       31                       6706834                 6688341                    6647240                    6618451                     6548781                     6083912                     73         586540          6690007       6498072           66.06   66.35             248983  248983  132795  134247  10   10    20    19    77               27                      5620075                      62                     0                         0                         2                         10 + 41 part         1005615           87.388               1.001              0.00               1109.51                   22.73                 5407 + 121 part     330853             5680667               71625   73799   26952   39527  27    26     61    56   
90_C158_contigs  185                  78                      63                      57                       50                       40                       6956766                 6930939                    6902117                    6865779                     6747185                     6399733                     91         616915          6940507       6498072           66.13   66.35             176827  188042  105225  121191  12   11    24    21    56               22                      4436477                      53                     0                         0                         1                         18 + 43 part         837842            93.721               1.002              0.00               543.79                    10.23                 5790 + 102 part     302658             6096586               98450   106614  38892   50472  22    19     50    42   
91_A147_contigs  187                  71                      59                      58                       53                       39                       6709549                 6684371                    6655347                    6649742                     6570568                     6068873                     78         348545          6690394       6498072           66.05   66.35             159211  159211  113382  119104  14   14    27    25    76               30                      4460494                      58                     0                         0                         4                         8 + 46 part          1007276           87.367               1.001              0.00               1108.11                   22.71                 5399 + 134 part     220494             5682001               66864   69440   25763   27432  32    30     71    66   
91_C159_contigs  123                  42                      37                      36                       31                       22                       6593065                 6579456                    6567809                    6562116                     6485538                     6137931                     45         897417          6581365       6498072           66.29   66.35             272746  272746  219040  219040  7    7     13    13    49               17                      5012729                      50                     0                         0                         0                         2 + 20 part          481744            93.658               1.002              0.00               527.28                    10.80                 5816 + 76 part      376235             6097488               142650  154613  58852   63816  14    13     31    30   
92_A148_contigs  248                  157                     119                     104                      75                       44                       6699061                 6675983                    6581147                    6473387                     6007532                     4902406                     168        396358          6684818       6498072           66.04   66.35             87099   90884   46686   50277   22   21    47    44    74               44                      3768517                      58                     0                         0                         6                         12 + 62 part         1002976           87.231               1.002              0.00               1110.22                   22.85                 5307 + 221 part     376480             5677863               45277   45649   15458   17115  41    39     103   94   
92_C160_contigs  154                  48                      39                      38                       35                       27                       6492471                 6465614                    6448196                    6441959                     6383919                     6101898                     60         650642          6473923       6498072           66.55   66.35             277448  277448  176875  176875  8    8     15    15    39               17                      4741555                      53                     0                         0                         0                         11 + 27 part         489576            91.950               1.002              0.00               522.61                    10.74                 5722 + 87 part      331410             5982466               117876  117876  66200   66200  16    16     34    34   
93_A151_contigs  258                  164                     123                     108                      77                       47                       6699540                 6674884                    6575980                    6460951                     5964950                     4858402                     175        260071          6683697       6498072           66.04   66.35             81790   82155   47515   48950   23   22    51    48    72               44                      3592276                      57                     0                         0                         6                         11 + 65 part         1003917           87.234               1.002              0.00               1109.30                   22.70                 5305 + 217 part     217880             5674191               41795   44036   15094   16842  46    44     112   103  
93_C161_contigs  133                  31                      25                      23                       21                       17                       6300548                 6276509                    6264936                    6250886                     6211609                     6041967                     42         971304          6284013       6498072           66.54   66.35             414433  409169  271992  271992  5    6     10    10    53               15                      5599998                      34                     0                         0                         1                         0 + 17 part          274536            92.397               1.001              0.00               512.50                    9.89                  5716 + 58 part      293066             6007174               114721  114721  69252   61404  16    16     32    35   
94_A154_contigs  285                  190                     139                     124                      81                       43                       6689344                 6664459                    6534577                    6427521                     5722468                     4388642                     202        260072          6674379       6498072           66.03   66.35             66442   70093   36364   38537   25   24    58    54    67               42                      3246104                      56                     0                         0                         8                         11 + 71 part         1003482           87.134               1.002              0.00               1108.43                   22.82                 5274 + 252 part     197716             5667216               35121   36491   14668   16055  49    47     122   114  
94_C164_contigs  141                  42                      34                      33                       31                       26                       6140206                 6120115                    6105680                    6100664                     6065827                     5881824                     47         1066729         6123807       6498072           66.42   66.35             347198  265815  149574  139883  6    7     13    15    60               23                      5404417                      58                     0                         0                         0                         4 + 24 part          323427            89.110               1.002              0.00               640.01                    13.25                 5564 + 96 part      375724             5798110               109392  104610  64427   50692  18    19     36    41   
95_A156_contigs  273                  166                     131                     114                      74                       44                       6695724                 6672082                    6582720                    6465859                     5801098                     4710279                     175        260074          6678893       6498072           66.04   66.35             81786   84239   44742   46214   23   22    51    48    69               41                      3429516                      59                     0                         0                         7                         12 + 65 part         1001821           87.195               1.002              0.00               1109.00                   22.70                 5305 + 228 part     172243             5672478               41794   44036   14929   16763  45    43     112   103  
95_C167_contigs  213                  58                      42                      33                       26                       22                       6614490                 6584298                    6551876                    6488618                     6370445                     6213102                     64         868254          6588272       6498072           66.23   66.35             388609  388609  209589  209589  6    6     11    11    60               22                      5805958                      72                     0                         0                         1                         14 + 31 part         595074            91.931               1.003              0.00               981.18                    19.52                 5731 + 102 part     376022             5991405               91694   91694   57499   58654  18    18     40    39   
96_A163_contigs  759                  623                     338                     188                      53                       11                       6165115                 6092053                    5398911                    4351938                     2197524                     770827                      705        124415          6153538       6498072           66.23   66.35             18193   17076   8491    7335    96   106   217   250   43               36                      920332                       41                     0                         0                         3                         9 + 45 part          438886            87.812               1.001              0.00               495.15                    10.41                 4972 + 715 part     99052              5708588               14254   13323   5941    5038   122   135    289   337  
96_C168_contigs  121                  35                      26                      26                       23                       22                       6855911                 6837834                    6810446                    6810446                     6760991                     6725140                     40         1003162         6841405       6498072           66.16   66.35             426929  426929  318613  318613  5    5     10    10    60               15                      5760936                      53                     0                         0                         2                         7 + 21 part          751458            93.610               1.001              0.00               537.17                    10.77                 5812 + 71 part      486211             6075543               117679  126645  56162   68325  17    15     37    33   
9_C17_contigs    141                  37                      26                      25                       25                       23                       6719499                 6696109                    6673708                    6668668                     6668668                     6583182                     44         680467          6701682       6498072           66.28   66.35             426041  426041  261047  288586  7    7     12    11    52               18                      6053023                      65                     0                         0                         0                         7 + 23 part          656306            92.969               1.001              0.00               554.81                    12.50                 5798 + 85 part      412071             6031583               121803  142635  64457   68539  15    14     33    31   
9_C91_contigs    189                  53                      41                      39                       37                       33                       6818389                 6788236                    6761588                    6748302                     6715217                     6581647                     64         677969          6795712       6498072           66.14   66.35             275457  275457  142925  145832  9    9     18    17    72               28                      5960717                      70                     0                         0                         1                         9 + 31 part          790203            92.275               1.002              0.00               971.68                    19.05                 5735 + 106 part     317067             6002595               92820   102431  48081   51203  21    20     48    44   
